CustomerID,segmento_valor
C198,Huespedes esporádicos
C873,Huespedes esporádicos
C553,Huespedes esporádicos
C534,Huespedes conectados
C888,Huespedes esporádicos
C520,Huespedes conectados
C966,Huespedes esporádicos
C732,Huespedes esporádicos
C032,Huespedes conectados
C834,Huespedes esporádicos
C857,Huespedes esporádicos
C898,Huespedes esporádicos
C332,Huespedes esporádicos
C540,Huespedes conectados
C114,Huespedes esporádicos
C853,Huespedes esporádicos
C138,Huespedes esporádicos
C979,Huespedes esporádicos
C871,Huespedes esporádicos
C837,Huespedes esporádicos
C489,Huespedes conectados
C480,Huespedes conectados
C900,Huespedes esporádicos
C921,Huespedes esporádicos
C714,Huespedes esporádicos
C299,Huespedes esporádicos
C734,Huespedes esporádicos
C252,Huespedes VIP
C486,Huespedes conectados
C283,Huespedes esporádicos
C819,Huespedes esporádicos
C697,Huespedes esporádicos
C829,Huespedes esporádicos
C180,Huespedes VIP
C626,Huespedes esporádicos
C140,Huespedes esporádicos
C241,Huespedes VIP
C579,Huespedes esporádicos
C525,Huespedes conectados
C379,Huespedes conectados
C664,Huespedes esporádicos
C248,Huespedes VIP
C1009,Huespedes VIP
C1027,Huespedes VIP
C1028,Huespedes VIP
C1031,Huespedes conectados
C1032,Huespedes conectados
C1034,Huespedes conectados
C1040,Huespedes conectados
C1047,Huespedes conectados
C956,Huespedes esporádicos
C541,Huespedes esporádicos
C733,Huespedes esporádicos
C215,Huespedes esporádicos
C311,Huespedes conectados
C936,Huespedes esporádicos
C089,Huespedes esporádicos
C030,Huespedes esporádicos
C657,Huespedes esporádicos
C110,Huespedes VIP
C077,Huespedes esporádicos
C374,Huespedes conectados
C342,Huespedes conectados
C895,Huespedes esporádicos
C607,Huespedes esporádicos
C852,Huespedes esporádicos
C421,Huespedes conectados
C502,Huespedes esporádicos
C500,Huespedes conectados
C648,Huespedes esporádicos
C036,Huespedes conectados
C076,Huespedes esporádicos
C699,Huespedes esporádicos
C319,Huespedes conectados
C622,Huespedes esporádicos
C858,Huespedes esporádicos
C225,Huespedes VIP
C678,Huespedes esporádicos
C393,Huespedes esporádicos
C058,Huespedes conectados
C254,Huespedes esporádicos
C629,Huespedes esporádicos
C192,Huespedes VIP
C014,Huespedes conectados
C156,Huespedes esporádicos
C368,Huespedes esporádicos
C923,Huespedes esporádicos
C831,Huespedes esporádicos
C006,Huespedes conectados
C257,Huespedes VIP
C711,Huespedes esporádicos
C741,Huespedes esporádicos
C082,Huespedes VIP
C433,Huespedes conectados
C457,Huespedes conectados
C1014,Huespedes VIP
C1017,Huespedes VIP
C1023,Huespedes VIP
C1024,Huespedes VIP
C1029,Huespedes VIP
C1042,Huespedes conectados
C1057,Huespedes conectados
C512,Huespedes esporádicos
C360,Huespedes esporádicos
C024,Huespedes conectados
C879,Huespedes esporádicos
C200,Huespedes VIP
C912,Huespedes esporádicos
C766,Huespedes esporádicos
C535,Huespedes conectados
C073,Huespedes VIP
C265,Huespedes conectados
C461,Huespedes esporádicos
C887,Huespedes esporádicos
C040,Huespedes conectados
C965,Huespedes esporádicos
C700,Huespedes esporádicos
C904,Huespedes esporádicos
C235,Huespedes esporádicos
C485,Huespedes esporádicos
C025,Huespedes conectados
C604,Huespedes esporádicos
C119,Huespedes esporádicos
C778,Huespedes esporádicos
C749,Huespedes esporádicos
C477,Huespedes esporádicos
C078,Huespedes VIP
C478,Huespedes conectados
C505,Huespedes conectados
C494,Huespedes esporádicos
C517,Huespedes conectados
C396,Huespedes esporádicos
C987,Huespedes esporádicos
C145,Huespedes esporádicos
C827,Huespedes esporádicos
C773,Huespedes esporádicos
C614,Huespedes esporádicos
C545,Huespedes conectados
C753,Huespedes esporádicos
C958,Huespedes esporádicos
C272,Huespedes conectados
C003,Huespedes conectados
C528,Huespedes conectados
C064,Huespedes conectados
C116,Huespedes esporádicos
C573,Huespedes conectados
C259,Huespedes conectados
C680,Huespedes esporádicos
C090,Huespedes VIP
C039,Huespedes conectados
C976,Huespedes esporádicos
C549,Huespedes conectados
C1007,Huespedes VIP
C1035,Huespedes conectados
C1037,Huespedes conectados
C1050,Huespedes conectados
C1055,Huespedes conectados
C1056,Huespedes conectados
C1061,Huespedes conectados
C002,Huespedes conectados
C237,Huespedes esporádicos
C674,Huespedes esporádicos
C224,Huespedes esporádicos
C068,Huespedes VIP
C728,Huespedes esporádicos
C369,Huespedes conectados
