OrderID,CustomerID,OrderDate,RestaurantType,MenuCategory,ItemName,Quantity,UnitPrice,TotalPrice,PaymentMethod,TableNumber,DayOfWeek,TimeOfDay,SpecialRequest,ServerName
1001,C512,2025-02-04,Delivery,Beverage,Green Smoothie,2,19.95,39.9,Mobile Payment,N/A,Tuesday,Dinner,None,does not report
1002,C002,2025-11-03,Takeaway,Food,Pasta Alfredo,2,17.38,34.76,Card,N/A,Monday,Breakfast,Less sugar,does not report
1003,C198,2025-03-22,Delivery,Beverage,Latte,2,7.44,14.88,Cash,N/A,Saturday,Lunch,Skim milk,does not report
1004,C360,2025-04-15,Takeaway,Food,Beef Burger,2,4.29,8.58,Mobile Payment,N/A,Tuesday,Lunch,Gluten-free,does not report
1005,C752,2025-07-28,Dine-In,Beverage,Latte,2,8.95,17.9,Card,19,Monday,Lunch,No cheese,Alice
1006,C429,2025-03-07,Dine-In,Beverage,Latte,1,4.57,4.57,Cash,19,Friday,Dinner,Dressing on the side,Daniel
1007,C024,2025-07-04,Takeaway,Beverage,Green Smoothie,2,10.44,20.88,Cash,N/A,Friday,Late Night,Gluten-free,does not report
1008,C956,2025-07-23,Dine-In,Food,Pasta Alfredo,1,8.49,8.49,Mobile Payment,4,Wednesday,Breakfast,Extra ice,Michael
1009,C169,2025-04-21,Delivery,Beverage,Cappuccino,1,15.8,15.8,Mobile Payment,N/A,Monday,Breakfast,Dressing on the side,does not report
1010,C873,2025-07-29,Takeaway,Beverage,Cappuccino,2,17.14,34.28,Cash,N/A,Tuesday,Lunch,Extra ice,does not report
1011,C879,2025-07-10,Dine-In,Food,Grilled Chicken,3,5.55,16.65,Card,8,Thursday,Breakfast,Extra ice,Daniel
1012,C237,2025-11-07,Dine-In,Food,Pasta Alfredo,2,18.53,37.06,Mobile Payment,12,Friday,Breakfast,Less sugar,Robert
1013,C060,2025-02-23,Delivery,Food,Margherita Pizza,1,18.8,18.8,Mobile Payment,N/A,Sunday,Lunch,No onions,does not report
1014,C200,2025-05-18,Takeaway,Beverage,Latte,1,7.58,7.58,Card,N/A,Sunday,Breakfast,Skim milk,does not report
1015,C674,2025-05-05,Dine-In,Beverage,Mineral Water,1,13.96,13.96,Mobile Payment,17,Monday,Lunch,Extra cheese,Sophia
1016,C541,2025-09-29,Dine-In,Beverage,Cappuccino,2,18.74,37.48,Mobile Payment,16,Monday,Late Night,Gluten-free,Robert
1017,C747,2025-10-03,Delivery,Food,Veggie Sandwich,3,9.2,27.6,Mobile Payment,N/A,Friday,Lunch,No cheese,does not report
1018,C628,2025-06-03,Dine-In,Beverage,Mineral Water,1,11.8,11.8,Cash,14,Tuesday,Dinner,No onions,Daniel
1019,C578,2025-10-04,Takeaway,Beverage,Mineral Water,2,5.39,10.78,Card,N/A,Saturday,Dinner,No onions,does not report
1020,C553,2025-07-29,Dine-In,Beverage,Cappuccino,2,13.68,27.36,Cash,1,Tuesday,Dinner,Extra cheese,Robert
1021,C224,2025-05-14,Takeaway,Beverage,Iced Tea,1,16.8,16.8,Mobile Payment,N/A,Wednesday,Dinner,None,does not report
1022,C534,2025-07-27,Delivery,Beverage,Cappuccino,3,3.39,10.17,Card,N/A,Sunday,Breakfast,None,does not report
1023,C262,2025-12-27,Delivery,Food,Grilled Chicken,2,7.63,15.26,Mobile Payment,N/A,Saturday,Dinner,No onions,does not report
1024,C715,2025-02-09,Delivery,Food,Margherita Pizza,3,12.74,38.22,Cash,N/A,Sunday,Late Night,Less sugar,does not report
1025,C754,2025-11-17,Delivery,Food,Margherita Pizza,2,17.95,35.9,Cash,N/A,Monday,Breakfast,Gluten-free,does not report
1026,C186,2025-04-16,Delivery,Beverage,Mojito,3,12.46,37.38,Mobile Payment,N/A,Wednesday,Dinner,No cheese,does not report
1027,C844,2025-04-28,Dine-In,Beverage,Latte,1,15.13,15.13,Cash,13,Monday,Dinner,No onions,Robert
1028,C733,2025-05-10,Delivery,Beverage,Mineral Water,1,12.41,12.41,Card,N/A,Saturday,Dinner,Less sugar,does not report
1029,C196,2025-01-03,Takeaway,Beverage,Iced Tea,2,10.15,20.3,Cash,N/A,Friday,Dinner,Dressing on the side,does not report
1030,C215,2025-01-22,Delivery,Beverage,Mojito,3,14.28,42.84,Card,N/A,Wednesday,Dinner,Skim milk,does not report
1031,C305,2025-02-26,Takeaway,Beverage,Mineral Water,2,18.04,36.08,Cash,N/A,Wednesday,Dinner,No onions,does not report
1032,C311,2025-03-16,Delivery,Food,Pasta Alfredo,1,4.14,4.14,Card,N/A,Sunday,Lunch,Extra ice,does not report
1033,C674,2025-05-05,Delivery,Food,Grilled Chicken,2,13.75,27.5,Mobile Payment,N/A,Monday,Lunch,Extra cheese,does not report
1034,C460,2025-05-04,Dine-In,Beverage,Mineral Water,2,8.37,16.74,Mobile Payment,15,Sunday,Lunch,Less sugar,Alice
1035,C936,2025-02-11,Delivery,Beverage,Fresh Orange Juice,1,10.47,10.47,Card,N/A,Tuesday,Lunch,Dressing on the side,does not report
1036,C068,2025-03-31,Takeaway,Food,Sushi Roll,3,3.56,10.68,Cash,N/A,Monday,Dinner,Less sugar,does not report
1037,C888,2025-10-11,Delivery,Beverage,Latte,1,11.57,11.57,Card,N/A,Saturday,Dinner,Skim milk,does not report
